accent,accent_profile,audio_clean_path,audio_telephony_path,base_script_id,category,clean_encoding,clean_sample_rate,clip_id,contains_ambiguity,contains_medical_terms,contains_numeric_confusion,difficulty,duration_sec,has_interruptions,input_hash,manifest_version,medical_domain,medical_subtype,noise_components,noise_level,noise_profile,noise_render,numeric_confusion_type,scenario,scenario_group,script_family_id,speech_style,split,telephony_encoding,telephony_sample_rate,text,voice_id,voice_type
us,,clean_rich_noisy/clip_0004_noisy_high.wav,telephony_rich_noisy/clip_0004_noisy_high.wav,script_0004,urgent_symptom,pcm_s16le,16000,clip_0004_noisy_high,True,True,True,hard,12.213688,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,high,high,rich_background_v1,duration_confusion,noisy_environment,noisy,family_0004,stressed,val,pcm_s16le,8000,"Hi, I think I ran out of metoprolol yesterday, and I might have missed a dose, it’s either 25 or 50 milligrams, I can’t remember exactly, so I wanted to ask if I can refill it.",N2lVS1w4EtoT3dr4eOWO,telephony
indian_english,south_asian_english,clean/clip_0004_accented.wav,telephony/clip_0004_accented.wav,script_0004,medication_question,pcm_s16le,16000,clip_0004_accented,True,True,True,medium,9.6595,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,duration_confusion,accented_speech,accented,family_0004,careful,train,pcm_s16le,8000,"Hi, I think I ran out of metoprolol yesterday, and I might have missed a dose, it’s either 25 or 50 milligrams, I can’t remember exactly, so I wanted to ask if I can refill it.",SAz9YHcvj6GT2YYXdXww,accented
us,,clean_rich_noisy/clip_0004_medical.wav,telephony_rich_noisy/clip_0004_medical.wav,script_0004,medical_conversation,pcm_s16le,16000,clip_0004_medical,True,True,True,hard,11.00625,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,True,medication_safety,conversation+ambience+music,medium,medium,rich_background_v1,duration_confusion,medical_conversation,medical,family_0004,clinical,test,pcm_s16le,8000,"Hi, I think I ran out of metoprolol yesterday, and I might have missed a dose, it’s either 25 or 50 milligrams, I can’t remember exactly, so I wanted to ask if I can refill it.",Xb7hH8MSUJpSbSDYk0k2,clinical
us,,clean/clip_0005_clean.wav,telephony/clip_0005_clean.wav,script_0005,medication_followup,pcm_s16le,16000,clip_0005_clean,True,True,True,easy,13.74625,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,duration_confusion,clean_speech,baseline,family_0005,calm,train,pcm_s16le,8000,"Since my surgery last week, I’ve been taking oxycodone, I think it’s 5 mg but maybe 9 mg, and I’ve been feeling really nauseous and kind of dizzy, so I’m not sure if that’s normal or if I should switch medications.",JBFqnCBsd6RMkjVDRZzb,neutral
us,,clean_rich_noisy/clip_0005_noisy_med.wav,telephony_rich_noisy/clip_0005_noisy_med.wav,script_0005,triage_call,pcm_s16le,16000,clip_0005_noisy_med,True,True,True,medium,15.557375,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,medium,medium,rich_background_v1,duration_confusion,noisy_environment,noisy,family_0005,conversational,train,pcm_s16le,8000,"Since my surgery last week, I’ve been taking oxycodone, I think it’s 5 mg but maybe 9 mg, and I’ve been feeling really nauseous and kind of dizzy, so I’m not sure if that’s normal or if I should switch medications.",N2lVS1w4EtoT3dr4eOWO,telephony
us,,clean_rich_noisy/clip_0005_noisy_high.wav,telephony_rich_noisy/clip_0005_noisy_high.wav,script_0005,urgent_symptom,pcm_s16le,16000,clip_0005_noisy_high,True,True,True,hard,11.702875,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,high,high,rich_background_v1,duration_confusion,noisy_environment,noisy,family_0005,stressed,val,pcm_s16le,8000,"Since my surgery last week, I’ve been taking oxycodone, I think it’s 5 mg but maybe 9 mg, and I’ve been feeling really nauseous and kind of dizzy, so I’m not sure if that’s normal or if I should switch medications.",SAz9YHcvj6GT2YYXdXww,telephony
indian_english,south_asian_english,clean/clip_0005_accented.wav,telephony/clip_0005_accented.wav,script_0005,medication_question,pcm_s16le,16000,clip_0005_accented,True,True,True,medium,12.724563,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,duration_confusion,accented_speech,accented,family_0005,careful,train,pcm_s16le,8000,"Since my surgery last week, I’ve been taking oxycodone, I think it’s 5 mg but maybe 9 mg, and I’ve been feeling really nauseous and kind of dizzy, so I’m not sure if that’s normal or if I should switch medications.",Xb7hH8MSUJpSbSDYk0k2,accented
us,,clean_rich_noisy/clip_0005_medical.wav,telephony_rich_noisy/clip_0005_medical.wav,script_0005,medical_conversation,pcm_s16le,16000,clip_0005_medical,True,True,True,hard,15.557375,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,True,medication_safety,conversation+ambience+music,medium,medium,rich_background_v1,duration_confusion,medical_conversation,medical,family_0005,clinical,test,pcm_s16le,8000,"Since my surgery last week, I’ve been taking oxycodone, I think it’s 5 mg but maybe 9 mg, and I’ve been feeling really nauseous and kind of dizzy, so I’m not sure if that’s normal or if I should switch medications.",onwK4e9ZLuTAKqWW03F9,clinical
us,,clean/clip_0006_clean.wav,telephony/clip_0006_clean.wav,script_0006,medication_followup,pcm_s16le,16000,clip_0006_clean,True,True,False,easy,13.560438,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,none,clean_speech,baseline,family_0006,calm,train,pcm_s16le,8000,"After the procedure, I was prescribed hydrocodone, or maybe hydroxyzine, I’m not totally sure which one, for pain, and it helps, but I feel very tired and a bit confused sometimes.",N2lVS1w4EtoT3dr4eOWO,neutral
us,,clean_rich_noisy/clip_0006_noisy_med.wav,telephony_rich_noisy/clip_0006_noisy_med.wav,script_0006,triage_call,pcm_s16le,16000,clip_0006_noisy_med,True,True,False,medium,10.216812,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,medium,medium,rich_background_v1,none,noisy_environment,noisy,family_0006,conversational,train,pcm_s16le,8000,"After the procedure, I was prescribed hydrocodone, or maybe hydroxyzine, I’m not totally sure which one, for pain, and it helps, but I feel very tired and a bit confused sometimes.",SAz9YHcvj6GT2YYXdXww,telephony
us,,clean_rich_noisy/clip_0006_noisy_high.wav,telephony_rich_noisy/clip_0006_noisy_high.wav,script_0006,urgent_symptom,pcm_s16le,16000,clip_0006_noisy_high,True,True,False,hard,12.492375,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,high,high,rich_background_v1,none,noisy_environment,noisy,family_0006,stressed,val,pcm_s16le,8000,"After the procedure, I was prescribed hydrocodone, or maybe hydroxyzine, I’m not totally sure which one, for pain, and it helps, but I feel very tired and a bit confused sometimes.",Xb7hH8MSUJpSbSDYk0k2,telephony
indian_english,south_asian_english,clean/clip_0006_accented.wav,telephony/clip_0006_accented.wav,script_0006,medication_question,pcm_s16le,16000,clip_0006_accented,True,True,False,medium,13.74625,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,none,accented_speech,accented,family_0006,careful,train,pcm_s16le,8000,"After the procedure, I was prescribed hydrocodone, or maybe hydroxyzine, I’m not totally sure which one, for pain, and it helps, but I feel very tired and a bit confused sometimes.",onwK4e9ZLuTAKqWW03F9,accented
us,,clean_rich_noisy/clip_0006_medical.wav,telephony_rich_noisy/clip_0006_medical.wav,script_0006,medical_conversation,pcm_s16le,16000,clip_0006_medical,True,True,False,hard,11.517125,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,True,medication_safety,conversation+ambience+music,medium,medium,rich_background_v1,none,medical_conversation,medical,family_0006,clinical,test,pcm_s16le,8000,"After the procedure, I was prescribed hydrocodone, or maybe hydroxyzine, I’m not totally sure which one, for pain, and it helps, but I feel very tired and a bit confused sometimes.",pNInz6obpgDQGcFmaJgB,clinical
us,,clean/clip_0007_clean.wav,telephony/clip_0007_clean.wav,script_0007,medication_followup,pcm_s16le,16000,clip_0007_clean,True,True,True,easy,10.8205,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,duration_confusion,clean_speech,baseline,family_0007,calm,train,pcm_s16le,8000,"I had knee surgery about ten days ago, and I’ve been alternating between ibuprofen and acetaminophen, like maybe every 6 or 16 hours, I might be saying that wrong, but the pain is still there.",SAz9YHcvj6GT2YYXdXww,neutral
us,,clean_rich_noisy/clip_0007_noisy_med.wav,telephony_rich_noisy/clip_0007_noisy_med.wav,script_0007,triage_call,pcm_s16le,16000,clip_0007_noisy_med,True,True,True,medium,11.888625,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,medium,medium,rich_background_v1,duration_confusion,noisy_environment,noisy,family_0007,conversational,train,pcm_s16le,8000,"I had knee surgery about ten days ago, and I’ve been alternating between ibuprofen and acetaminophen, like maybe every 6 or 16 hours, I might be saying that wrong, but the pain is still there.",Xb7hH8MSUJpSbSDYk0k2,telephony
us,,clean_rich_noisy/clip_0007_noisy_high.wav,telephony_rich_noisy/clip_0007_noisy_high.wav,script_0007,urgent_symptom,pcm_s16le,16000,clip_0007_noisy_high,True,True,True,hard,13.978438,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,high,high,rich_background_v1,duration_confusion,noisy_environment,noisy,family_0007,stressed,val,pcm_s16le,8000,"I had knee surgery about ten days ago, and I’ve been alternating between ibuprofen and acetaminophen, like maybe every 6 or 16 hours, I might be saying that wrong, but the pain is still there.",onwK4e9ZLuTAKqWW03F9,telephony
indian_english,south_asian_english,clean/clip_0007_accented.wav,telephony/clip_0007_accented.wav,script_0007,medication_question,pcm_s16le,16000,clip_0007_accented,True,True,True,medium,11.42425,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,duration_confusion,accented_speech,accented,family_0007,careful,train,pcm_s16le,8000,"I had knee surgery about ten days ago, and I’ve been alternating between ibuprofen and acetaminophen, like maybe every 6 or 16 hours, I might be saying that wrong, but the pain is still there.",pNInz6obpgDQGcFmaJgB,accented
us,,clean_rich_noisy/clip_0007_medical.wav,telephony_rich_noisy/clip_0007_medical.wav,script_0007,medical_conversation,pcm_s16le,16000,clip_0007_medical,True,True,True,hard,10.866938,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,True,medication_safety,conversation+ambience+music,medium,medium,rich_background_v1,duration_confusion,medical_conversation,medical,family_0007,clinical,test,pcm_s16le,8000,"I had knee surgery about ten days ago, and I’ve been alternating between ibuprofen and acetaminophen, like maybe every 6 or 16 hours, I might be saying that wrong, but the pain is still there.",CwhRBWXzGAHq8TQ4Fs17,clinical
us,,clean/clip_0008_clean.wav,telephony/clip_0008_clean.wav,script_0008,medication_followup,pcm_s16le,16000,clip_0008_clean,True,True,True,easy,9.752375,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,dose_confusion,clean_speech,baseline,family_0008,calm,train,pcm_s16le,8000,"My incision area still hurts, and I’ve been taking tramadol occasionally, maybe 50 or 15 milligrams when it gets bad, but I’m not sure if I’m taking too much.",Xb7hH8MSUJpSbSDYk0k2,neutral
us,,clean_rich_noisy/clip_0008_noisy_med.wav,telephony_rich_noisy/clip_0008_noisy_med.wav,script_0008,triage_call,pcm_s16le,16000,clip_0008_noisy_med,True,True,True,medium,10.8205,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,medium,medium,rich_background_v1,dose_confusion,noisy_environment,noisy,family_0008,conversational,train,pcm_s16le,8000,"My incision area still hurts, and I’ve been taking tramadol occasionally, maybe 50 or 15 milligrams when it gets bad, but I’m not sure if I’m taking too much.",onwK4e9ZLuTAKqWW03F9,telephony
us,,clean_rich_noisy/clip_0008_noisy_high.wav,telephony_rich_noisy/clip_0008_noisy_high.wav,script_0008,urgent_symptom,pcm_s16le,16000,clip_0008_noisy_high,True,True,True,hard,8.68425,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,high,high,rich_background_v1,dose_confusion,noisy_environment,noisy,family_0008,stressed,val,pcm_s16le,8000,"My incision area still hurts, and I’ve been taking tramadol occasionally, maybe 50 or 15 milligrams when it gets bad, but I’m not sure if I’m taking too much.",pNInz6obpgDQGcFmaJgB,telephony
indian_english,south_asian_english,clean/clip_0008_accented.wav,telephony/clip_0008_accented.wav,script_0008,medication_question,pcm_s16le,16000,clip_0008_accented,True,True,True,medium,9.241563,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,dose_confusion,accented_speech,accented,family_0008,careful,train,pcm_s16le,8000,"My incision area still hurts, and I’ve been taking tramadol occasionally, maybe 50 or 15 milligrams when it gets bad, but I’m not sure if I’m taking too much.",CwhRBWXzGAHq8TQ4Fs17,accented
us,,clean_rich_noisy/clip_0008_medical.wav,telephony_rich_noisy/clip_0008_medical.wav,script_0008,medical_conversation,pcm_s16le,16000,clip_0008_medical,True,True,True,hard,9.891687,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,True,medication_safety,conversation+ambience+music,medium,medium,rich_background_v1,dose_confusion,medical_conversation,medical,family_0008,clinical,test,pcm_s16le,8000,"My incision area still hurts, and I’ve been taking tramadol occasionally, maybe 50 or 15 milligrams when it gets bad, but I’m not sure if I’m taking too much.",EXAVITQu4vr4xnSDxMaL,clinical
us,,clean/clip_0009_clean.wav,telephony/clip_0009_clean.wav,script_0009,medication_followup,pcm_s16le,16000,clip_0009_clean,True,True,False,easy,13.839125,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,none,clean_speech,baseline,family_0009,calm,train,pcm_s16le,8000,"Over the past few days, I’ve been feeling shortness of breath and some tightness in my chest, especially when I walk, and I’m also on metformin or maybe methotrexate, I might be mixing that up.",onwK4e9ZLuTAKqWW03F9,neutral
us,,clean_rich_noisy/clip_0009_noisy_med.wav,telephony_rich_noisy/clip_0009_noisy_med.wav,script_0009,triage_call,pcm_s16le,16000,clip_0009_noisy_med,True,True,False,medium,11.935063,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,medium,medium,rich_background_v1,none,noisy_environment,noisy,family_0009,conversational,train,pcm_s16le,8000,"Over the past few days, I’ve been feeling shortness of breath and some tightness in my chest, especially when I walk, and I’m also on metformin or maybe methotrexate, I might be mixing that up.",pNInz6obpgDQGcFmaJgB,telephony
us,,clean_rich_noisy/clip_0009_noisy_high.wav,telephony_rich_noisy/clip_0009_noisy_high.wav,script_0009,urgent_symptom,pcm_s16le,16000,clip_0009_noisy_high,True,True,False,hard,10.681188,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,conversation+ambience+music,high,high,rich_background_v1,none,noisy_environment,noisy,family_0009,stressed,val,pcm_s16le,8000,"Over the past few days, I’ve been feeling shortness of breath and some tightness in my chest, especially when I walk, and I’m also on metformin or maybe methotrexate, I might be mixing that up.",CwhRBWXzGAHq8TQ4Fs17,telephony
indian_english,south_asian_english,clean/clip_0009_accented.wav,telephony/clip_0009_accented.wav,script_0009,medication_question,pcm_s16le,16000,clip_0009_accented,True,True,False,medium,10.8205,False,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,False,,,low,clean,,none,accented_speech,accented,family_0009,careful,train,pcm_s16le,8000,"Over the past few days, I’ve been feeling shortness of breath and some tightness in my chest, especially when I walk, and I’m also on metformin or maybe methotrexate, I might be mixing that up.",EXAVITQu4vr4xnSDxMaL,accented
us,,clean_rich_noisy/clip_0009_medical.wav,telephony_rich_noisy/clip_0009_medical.wav,script_0009,medical_conversation,pcm_s16le,16000,clip_0009_medical,True,True,False,hard,11.563562,True,6daeb555132c4c965c25c3baeff511f52a7e26140e659edacda84f7fc7abaf0d,v1,True,medication_safety,conversation+ambience+music,medium,medium,rich_background_v1,none,medical_conversation,medical,family_0009,clinical,test,pcm_s16le,8000,"Over the past few days, I’ve been feeling shortness of breath and some tightness in my chest, especially when I walk, and I’m also on metformin or maybe methotrexate, I might be mixing that up.",FGY2WhTYpPnrIDTdsKH5,clinical
